Created via cygcheck -c command
The cygwin package version used to download was 2.83

Cygwin Package Information
Package                             Version            Status
xproto                              7.0.24-1           OK
xrdb                                1.0.9-1            OK
xsetroot                            1.1.0-1            OK
xstdcmap                            1.0.3-1            OK
xterm                               291-1              OK
xxd                                 7.3.1314-1         OK
xz                                  5.0.4-1            OK
yelp-tools                          3.6.1-1            OK
yelp-xsl                            3.8.1-1            OK
zip                                 3.0-1              OK
zlib-devel                          1.2.8-1            OK
zlib0                               1.2.8-1            OK
zsh                                 5.0.2-1            OK
zziplib                             0.13.62-1          OK
